Ax,Ay,Az,Gx,Gy,Gz,Unnamed: 69
1.5663,-7.464,2.5061,1.5656,-1.5302,-0.090713,0.0
2.2337,-8.0769,3.4187,1.1338,-0.3708,-0.3769,0.0
0.19068,-10.351,0.10896,1.1836,-0.66279,-0.55467,0.0
-0.68102,-10.229,-1.3212,1.2,-1.4569,-0.39645,0.0
-0.14982,-9.8884,-1.6072,0.93432,-0.97708,-0.45051,0.0
1.4982,-9.3844,1.076,0.9557,-0.6692,-0.55008,0.0
1.7298,-9.3163,1.5391,0.80543,-0.031765,-0.74434,0.0
0.47671,-10.447,1.1032,0.82772,-0.0027489,-0.74953,0.0
1.1032,-10.992,0.12258,0.85368,-0.025351,-0.69852,0.0
2.0022,-11.55,-0.78998,0.80481,0.08094,-0.68203,0.0
2.2746,-11.891,-1.6072,0.76053,0.31826,-0.75442,0.0
0.38137,-12.395,-1.2667,0.5849,0.051618,-0.75014,0.0
0.21793,-13.321,-0.1362,0.13867,-0.58704,-0.60079,0.0
0.39499,-12.64,0.17706,-0.32712,-0.77152,-0.4273,0.0
-0.28603,-13.661,-3.0237,-0.55925,0.064446,-0.20311,0.0
-0.38137,-14.097,-4.5356,-0.96883,0.015272,0.072082,0.0
0.17706,-13.634,-3.7865,-1.4615,-0.11851,0.17593,0.0
1.8524,-12.585,-5.2711,-2.5027,0.1014,0.52198,0.0
2.1384,-13.13,-2.9692,-2.9022,0.22969,0.51343,0.0
2.6015,-13.77,-0.17706,-3.3961,0.34789,0.8097,0.0
5.6252,-14.86,6.1836,-2.9062,0.73854,0.74862,0.0
6.1155,-14.029,2.8875,-2.262,-0.018631,0.87751,0.0
3.7865,-12.735,-2.0703,-2.0687,-0.86499,1.2129,0.0
3.2553,-13.184,-1.9613,-1.8033,-0.91752,1.3186,0.0
2.1248,-13.729,-0.89894,-1.0931,-1.3237,1.3998,0.0
-0.1362,-11.278,0.7355,-0.43616,-0.80146,1.5919,0.0
0.57205,-9.8611,2.2474,-0.98869,0.99724,1.5922,0.0
1.9886,-8.6489,2.8603,-1.8671,2.2168,1.3515,0.0
2.5198,-7.6683,3.2825,-2.0409,2.6286,1.3042,0.0
2.7922,-5.4481,2.1384,-1.8647,2.6316,1.171,0.0
1.6072,-4.5492,2.833,-1.7492,2.8152,0.81184,0.0
3.7047,-2.9148,2.4789,-1.1396,2.3546,0.48594,0.0
4.2632,-2.6696,2.4517,-0.59162,2.295,0.39828,0.0
4.0725,-2.656,2.2882,-0.30574,2.332,0.40409,0.0
4.4266,-2.5742,1.1032,0.76847,1.7553,0.33445,0.0
5.38,-3.2144,0.7355,1.6194,0.95448,0.18204,0.0
6.8374,-4.7807,-0.40861,2.62,-0.14325,-0.19823,0.0
4.4539,-9.8339,-5.598,3.1789,-0.70127,-0.63133,0.0
0.84446,-15.636,-10.283,2.7712,-0.81001,-0.65607,0.0
0.19068,-19.109,-17.802,0.57971,0.24007,-0.37202,0.0
-1.1713,-15.119,-8.4174,-1.8384,2.364,0.11545,0.0
0.76274,-8.4446,-4.7671,-1.8619,1.3534,0.43799,0.0
0.76274,-8.4446,-4.7671,-1.8619,1.3534,-0.59682,0.0
7.1507,-10.774,7.0826,1.4881,-1.6603,-0.59682,0.0
9.507,-15.704,9.3163,2.0821,-2.2672,-0.81795,0.0
7.2188,-19.355,6.0066,1.7526,-2.4239,-0.6243,0.0
-1.9886,-11.809,-2.9556,0.66768,-1.2779,0.15699,0.0
-1.7025,-7.8045,1.0215,0.40684,-1.5797,0.67806,0.0
5.7886,-2.4244,0.88532,0.83689,-1.8601,0.68234,0.0
5.4209,-4.3449,6.279,1.4083,-2.3143,-0.12523,0.0
4.6037,-7.641,9.0303,2.8787,-3.9819,-0.84971,0.0
1.6072,-14.683,5.9657,1.8754,-2.332,-0.88209,0.0
-0.28603,-13.797,1.1713,0.66951,0.8488,-0.52076,0.0
-0.20431,-9.0439,-2.8194,1.1524,1.0519,-0.40959,0.0
